example_id,customer_text,intent,predicted_intent,confidence,amazon_text
23,"@AmazonHelp No need. I'll wait till Monday which was original expected date when I placed the order. If it doesn't arrive then, then there's a problem.",customer_service_other,delivery_delay,0.2114861332058844,@476653 Great! Just keep us posted! ^BN
24,@115830 If I had to pick a not so safe place this one your driver chose would be top of the list https://t.co/0oi4vavGJw,customer_service_other,delivery_missing,0.1911458422290249,@261149 Oh no! I'm so sorry to hear that! Have you set up a safe place for parcels? You can set those up here: https://t.co/VzfjQ0LKvV ^VF
28,@715660 $108 was taken out my account for amazon prime and i didn't sign up for none of that shit,customer_service_other,payment_billing,0.3229383648143135,@742458 I'm sorry about the unexpected expense! You can cancel your Prime membership for a refund: https://t.co/NfFEaumGk7 Please let us know if we can help with anything else! ^PF
29,@UPSHelp My package from @2629 is lost&amp; my @115821 was supposed 2 b here at the end of the day 2 day....now the ETA has changed....AGAIN!!!!,customer_service_other,delivery_missing,0.2830211204873026,@274705 Oh no! Please let us know if it doesn't arrive by the new delivery date. ^MT
31,"@AmazonHelp Hey, i want to downgrade my prime membership to video and music only. is that feasible? if not, video only is fine. I seem to remember when i tried to cancel once that you offered me a reduced package of £4.99 but i can't see that now when i look?",seller_promotion,product_issue,0.1487491740462671,@204201 Hi Jack! We'll be glad to help. Please get in touch with us here: https://t.co/JzP7hlA23B to see your options. ^CN
33,"@AmazonHelp So this order 407-7402036-7182732
Placed on 30th and supposed to reach me on 2nd  November
Now is this as per amazon prime delivery std ??",customer_service_other,delivery_delay,0.229629497585705,@120086 I'm sorry you had an unpleasant experience regarding the delivery. I would pass on your comments as feedback to our team 1/3 ^SB
34,"@115821 This review violates guidelines? Jesus christ, it's nothing but praise for the seller. Seriously, please tell me how it isn't a good review. https://t.co/j3rWiPcyHu",delivery_delay,seller_promotion,0.37918223377525,@746221 I'm sorry for trouble posting your review! You can submit seller feedback here: https://t.co/YB2PRf4DAm ^DG
35,@AmazonHelp One was supposed to be same day and I got refunded the extra cost of that one. The other was just regular prime shipping and delayed a day.,return_refund,delivery_delay,0.2322848427160854,@513963 My team would like to personally look into this. Please send us more information here: https://t.co/ZAwCuqyfvy ^AB
36,"@160663 @115850 Dear Sir,
Amazone Tearms
Please , send me the duplicate bill copy of my order id- 20429178972317.",customer_service_other,payment_billing,0.2609998188186302,@207486 ..details as we consider them to be personal information. Our Twitter page is visible to public. ^PB (2/2)
37,@AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,return_refund,order_status,0.3218560788940987,"@119353 Please don’t provide your order details, we consider them as personal information. Our Twitter page is visible to public. ^VM"
41,@117634 Why I don’t have suggestions or access to the store in my update app? Do you impose some geo limitations?,customer_service_other,technical_support,0.3649302524580639,@733379 Can you tell us a little more about what you're seeing? Is the Discover tab available at the bottom of your screen? ^RA
43,@AmazonHelp It’s just says arriving,customer_service_other,order_status,0.3837918062703294,@133051 Has the delivery date that was provided to you in your order confirmation passed yet? ^BV
46,Amazon said they were going to miss my delivery for the sims 4. Will it ever come @115821 ?,customer_service_other,delivery_delay,0.1934238316352446,"@667906 We never intend to miss the estimated delivery date given at checkout! Were you given a reason for the delay and an updated delivery date? Please let us know, Dylan! ^FD"
47,"@115850 #amazonpantry
1) No fixed delivery timing . 2) 5 page invoice for 19 items
You are pain for grocery customers",customer_service_other,delivery_delay,0.2271370621414275,@401542 as a feedback to the concerned team internally to work on improvements. Do keep us posted in case of any unresolved issue. 2/2 ^KA
51,@AmazonHelp This was ordered on oct. 15 and listed prime 2 day. Then changed to 23rd to 27th. Then didn't show up.,customer_service_other,delivery_delay,0.2313803418522651,@479327 I am so sorry! Have you had a chance to reach out to us via phone or chat? You can do that here: https://t.co/hApLpMlfHN ^LS
52,@115830 disappointed with your #prime service ordered a book to get it on day released all day your service said it was on track to be delivered by 8pm so made sure someone was in as would be too big for letterbox only to greeted by this message tonight https://t.co/aUsHGWbvJw,customer_service_other,delivery_delay,0.2290719952994332,"@222534 I'm so sorry for the unexpected delay on your order! Please keep us in the loop, and let us know if you haven't received it by Tuesday. ^JN"
56,Anyone else have issues with Amazon Prime delivering on time? I’ve been telling my kids how much they will love it-and I’m still  waiting.,customer_service_other,delivery_delay,0.1974430773921789,"@310708 I'm sorry if we've disappointed you, Lisa! Have we missed the estimated delivery dates given at checkout/in your e-mail? ^FD"
57,@AmazonHelp First it was a discount. Then I was told it couldn't be replaced because it was from your global store.,seller_promotion,return_refund,0.1866217498732155,@182232 I would like for a team member to investigate this for you! Please add information here: https://t.co/K4Gu7n23ly  Keep us posted!^FR
58,@AmazonHelp ordered a pair of shoes 10 days ago it cost me 2800 but now they are available for 1900 .why you charged me extra 900 https://t.co/HnZLiv5Qc1,payment_billing,seller_promotion,0.2749031400572456,"@756896 Pricing and offers are decision of the sellers. The constantly changing marketplace and our efforts to offer you the lowest price, may result in fluctuations in our prices over time. The price you saw was the lowest we were able to offer at the moment. 1/2 ^MK"
59,@AmazonHelp That hasn’t helped. Just says what I’ve told you. That the delivery wasn’t completed,customer_service_other,delivery_missing,0.2190105401345732,"@811659 Hi Sarah. When you spoke to us by phone/chat via that link, what additional advice was given? ^DC"
60,@AmazonHelp Need an update on Order Id: 403-7773395-9905160. These updates are not making any sense. Paid extra for xpress delivery as well https://t.co/bCiULhTKN0,customer_service_other,delivery_delay,0.1854775424543013,@215321 I'm sorry for the miss. Kindly connect with us here: https://t.co/vlvfJr4nN9 and we'll sort this out. (1/2) ^GK
61,"@115850 why there arent any kannada videos in AmazonPrime .what should I do with my Amazon prime subscription ? 
@89922 @89923 @89924",customer_service_other,seller_promotion,0.2684249056985865,@665448 We have responded to your concern here: https://t.co/WsUceQcny9. Request you to check. ^MP
62,@115850 order 408-5438761-9813923 is not delivered past 15 days and multiple followups.,customer_service_other,delivery_delay,0.1762091658541082,@214626 That's odd. We'd like to look into it. Kindly report this to our support team here: https://t.co/vlvfJr4nN9. (1/2)^SF
63,@115850 i can't purshase from amazon because its cheat me,customer_service_other,payment_billing,0.2435557609007528,@206714 We wonder what went wrong. Could you tell us more about your concern for better assistance? ^YP
65,@115850 “Delivery refused by customer msg” Text received today even nobody call me for delivery. Customer care also given false statement https://t.co/KQAS6ELsUM,customer_service_other,delivery_missing,0.21964100742361,@125597 Sorry for the hassle. I’d like to assist you. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you 1/2 ^NK
66,First time @14249 has failed me with the 2-day delivery in over 4 years. Sad 😞,customer_service_other,delivery_delay,0.2363380626700116,@130692 Sorry to hear that. Without giving out personal info please let us know what happened? ^RS
68,@115850 guys please I need your amazing echo dot...let me get my hands on it,technical_support,seller_promotion,0.2868696203199378,@233299 You may find the desired result here: https://t.co/L8jb4mbhzz . ^MK
71,Literally watched the delivery guy put my packages in front of my garage instead of my front door. 😡 @115821,customer_service_other,delivery_missing,0.2796084791762264,"@455416 This isn't at all what we'd expect, I'm truly sorry to hear that this occurred! Who was the carrier? Check here: https://t.co/Y5jpI9gRhE and please let us know. ^JE"
73,"@AmazonHelp Yes. The one delivered to the wrong address, was dropped off at my house by the person who received it in error. The other two are MIA.",customer_service_other,delivery_missing,0.2675781614553995,@274546 can you see order tracking on the order? https://t.co/Y5jpI9gRhE ^AS
74,"@115821.comIt is an international shipment!
I paid full price to buy a new kitchen aid  mixer but you sent me refurbished one? Is that work?",seller_promotion,product_issue,0.3331853544410821,@215592 Did you purchase the item directly from Amazon or from a third party seller? ^KM
75,@AmazonHelp Usually my neighbour but they work as well.,customer_service_other,delivery_missing,0.2273450030211463,"@816230 Go ahead and set the safe place so you do not have to wait around all day. Just to be sure you can also place a note somewhere if you feel it necessary, up to you. ^DJ"
76,@AmazonHelp It started a month or so ago and have had to watch through my PS4 but I'm getting annoyed at having to keep switching to it and using my controller as a remote as it's not very good!,customer_service_other,technical_support,0.4108753697874371,@141275 Have you checked with Panasonic to ensure your TV is on the latest firmware? Your TV may need an update.^GA
77,"@AmazonHelp It says ""Sold by Erlvery DaMain and Fulfilled by Amazon"".",customer_service_other,seller_promotion,0.2286284632759121,"@223995 Thank you for that information! We can't access your account via Twitter, but we would still like to help! When you have time, please reach out to us via phone or chat here: https://t.co/hApLpMlfHN We'd love to discuss what options may be available ^AR"
79,"45 minutes of trying to figure out how to return a gift to @115821 followed by this email.. “I cloud dispose the item in a proper way” and I won’t be charged for it! C’mon @AmazonHelp .. If anything, it is pretty hilarious. https://t.co/akHV6hiZdv",payment_billing,return_refund,0.2561080196202549,"@688434 Apologies, Halie. Were you on the phone to an Agent? What was advised? Keep us updated! ^CN"
82,"@AmazonHelp Not helpful unfortunately. ""Parcel was handed to resident The delivery was received by: Richaed"" 14:41. I was at work... (and it's Richard)",customer_service_other,delivery_missing,0.3006581379825355,"@182451 Apologies, have you checked with neighbors and in any possible safe places? ^JJ"
86,@279583 This is encouraging to hear. If only @AmazonHelp would respond to all of my emails about my stolen package from weeks ago. 🙄,customer_service_other,delivery_missing,0.2643903702162066,@282220 What have you been advised so far? When was the last time you contacted us about this? ^BD
89,"@115850 @115821 Despite commitment from Amazon rep to update us the status on 13th this month, no news yet. Order still not received. https://t.co/EiZMgFuEBT",delivery_missing,delivery_delay,0.1517821257272313,"@199018 Also, please don't provide your order details as its personal info. Our Twitter page is visible to the public. 2/2 ^AB"
91,"Dear @115850 please choose better courier than
@120169 Tracking details showing out for delivery
from last day order 408-0342057-9912314",order_status,delivery_delay,0.1995078216209198,@258591 Apologies for any inconvenience. Orders placed with us will be basically delivered as per the estimates shared. 1/2 ^AB
92,"@AmazonHelp Dear @AmazonHelp, I am going to install the product ( as it is very delayed now☹️) and send you the charges for the same. Kindly reimburse the balance in form of amazon pay balance.  Thank you.",payment_billing,return_refund,0.2504079618201392,"@132737 I understand your concern regarding the installation of your product. Twitter being a social platform, we do not have access to your account. As informed earlier, kindly reply to the email you received from social media team for further assistance. ^MO"
96,"@AmazonHelp It was ordered on Monday, “guaranteed delivery by Wednesday” https://t.co/QsRtcI0RDS",customer_service_other,delivery_delay,0.2105892805376908,@671805 It's never our intention for this to happen! Please let us know if you don't receive your item by Saturday. ^KP
98,So according to the @115830 app @116324 tried to deliver my parcel today but I have been in all day and there has been no one at the door and no delivery slip posted! Where was my parcel allegedly delivered to?! Hmm... #disappointed,customer_service_other,delivery_missing,0.3445075944360684,@677429 I'm sorry to hear about this. It could be an incorrect scan on the part of the carrier and still be on the way to you today. Can you keep us updated on the delivery? ^MI
101,"@115850 If the prime member also has to wait for delivery for 6 days then ,what is the true use of prime member ?? So sad https://t.co/myUpRKGR3X",customer_service_other,delivery_delay,0.2379103450542348,"@144977 I’m sorry about this experience, Arun. Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^MK"
103,@AmazonHelp No sorry ... what about you reaching out to me and trying to resolve it !!! Oh look just had another attempt !!! And I’m still in my house 🙌🏻😩🙋🏼 cheers https://t.co/l3iC1UAkvv,customer_service_other,delivery_missing,0.2328228987675139,"@131044 I appreciate that this must be frustrating for you, however we are unable to view account details via Twitter. Please contact us via the link ^RS provided and we'll look into this for you. ^KI"
108,"Hi @115821 , I have a $419.00 birthday present I purchased for someone that has not been delivered. Either @115817 agents or urs lied about 1/x",customer_service_other,delivery_missing,0.2841314476761947,"@200265 I'm sorry your order hasn't been delivered. To confirm, what's the latest tracking scan show: https://t.co/ErDEARsXkH? ^CL"
109,@115850 Please ask CloudTail to bring back Tata Coffee Grand!!! Have been purchasing it from you for more than a year!! https://t.co/XPYgxc0hBm,customer_service_other,seller_promotion,0.2622368992110409,@313538 I will ensure that your feedback is passed on to the appropriate team internally. Please stay tuned. ^NK
113,@AmazonHelp I lost my kindle while traveling in Sri Lanka. Can I remotely deactivate it? Can I get a new one here? I want to read 🙂,technical_support,account_access,0.4534364949041108,@361607 I'm sorry your Kindle was lost! We'd like to look into available options with you here: https://t.co/JzP7hlA23B ^VS
119,"@AmazonHelp Hi - They worked fine at first, and then the remote has broken (i think) as it keeps pausing my music, skipping songs etc. 1/2",product_issue,technical_support,0.3786411222185683,@523483 Can you contact us here: https://t.co/JzP7hlA23B? ^MC
120,Hi @AmazonHelp My order from Sept 5th never arrived.  I have been in NUMEROUS emails with you &amp; still no delivery and now no communication,delivery_missing,delivery_delay,0.1847203340655978,"@390329 I'm sorry for the poor experience! To clarify, have we missed the delivery date promised in your confirmation e-mail? ^AB"
125,"Pretty sure this is a scam/phishing email, and the link doesn't go to the Amazon website @115821 https://t.co/f96n9rDW6L",customer_service_other,account_access,0.3412729698850476,"@618719 Hi, you can visit the website here: https://t.co/yA5zWePbHS to check that you can log in without issue. ^TS"
126,@AmazonHelp I need your help. My order's not been delivered since 12th October. My cats are getting uneasy.(becoz I ordered cat litter),customer_service_other,delivery_missing,0.2077313041590253,@376054 Sorry to know about the delay with the order. Please connect with us here: https://t.co/00q4Sqj9zL we'll have this checked.^KA
127,Why tell me 45 mins after scheduled delivery time that you apologise and it won’t be delivered until the 10th... why pay for prime? So frustrated and so inconvenient!!! @115830,customer_service_other,delivery_delay,0.2814666683739467,"@628442 I'm sorry for the frustration! Unforeseen circumstances may cause delays. If it doesn't arrive by the 10th, let us know. ^SJ"
132,@AmazonHelp I don't want your sorry. I want my money back which I paid for a service which you are unable to provide.,payment_billing,return_refund,0.3072461780759263,@405401 Sorry for the trouble with your order. Please contact us here: https://t.co/vlvfJr4nN9 and we'll help you with this. ^SQ
134,@AmazonHelp is it a bad thing that I actually am no longer surprised when I have shipping problems with you? *sigh*,customer_service_other,delivery_delay,0.1718425924551664,@218111 This isn't what we like to hear and we'd love to assist if we can! Are you seeing issues with a current order? ^KN
138,@AmazonHelp That is because my wife and I have wildly different buying habits it would be easier,customer_service_other,account_access,0.3594524921587872,"@367516 Makes sense. We've forwarded your feedback to the relevant team for a review, which helps us improve customer experience. ^RS"
139,"@AmazonHelp Hi, no I haven’t. The only email I have received is the one confirming payment when I first ordered! I’ve received no more emails 😫",payment_billing,order_status,0.2420842890861845,"@650801 If you don't see the e-mail in the spam/junk folders, please contact us here: https://t.co/FJPLs4NNcp ^LI"
141,"@AmazonHelp Why do I pay for Prime with 2-day shipping, and then order something and it tells me it will be 6 days?",customer_service_other,delivery_delay,0.2645394373734701,"@237243 I'm sorry for the trouble! Prime Two-Day shipping refers to the transit time, in business days, once the item has shipped: https://t.co/x6DaIpAB5H. Have we missed the delivery date provided at checkout on a recent order? ^VB"
143,Again my pickup has cancelled. Good job @AmazonHelp @149473 from last 18 days you're doing amazing job.,customer_service_other,return_refund,0.2446744323449018,@219482 I'm sorry it is taking longer than expected. Kindly reply to the email received from us and we shall get back to you. ^SH
144,@115830 Yet again JMHC fail to deliver my parcel yet claim they attempted to at 6:28pm! Why do I pay for Prime when orders never reach me?,customer_service_other,delivery_delay,0.2092860066393815,@129371 Let's talk baout this in real time. Please call or chat with us here: https://t.co/cUH0Os614x ^BA
146,@AmazonHelp 9 times now. Advised 5 separate delivery times. One agent fell asleep while talking to me which was strange. When will my package arrive?,customer_service_other,delivery_delay,0.203552466008953,"@211912 Hey, Chris! My team would like to investigate with you. Could you please provide more details here: https://t.co/9ScDoUsrsp ^AJ"
149,@115850 scam on name of Diwali.... added taxes plus deliver etc and products are more thn mrp lol 😂 well played,customer_service_other,payment_billing,0.2823543413276935,@482895 The MRP of the product delivered might differ from the MRP mentioned on the website. This could happen owing to (1/2) ^KA
150,@AmazonHelp The associate already told me I selected two-day shipping; wasn’t too much help after that,customer_service_other,delivery_delay,0.2397171630730806,@208621 Had you intended to place the order with a more expedited form of shipping? ^MJ
151,"@AmazonHelp I would like to raise a serious complaint regarding my account and my failed order, 3rd time now and I find it disgusting",customer_service_other,account_access,0.4419437505389106,"@434624 I'm sorry for the order trouble, Craig! Without including personal/account information, could you tell us more? ^SD"
154,@115850 ordered a book on the website. Not yet delivered and seller not responding. Please help,seller_promotion,delivery_missing,0.1599090671795685,"@369659 Has the delivery date been missed? If yes, please report this to our support team here: https://t.co/vlvfJr4nN9. ^HA"
157,Yo @AmazonHelp why has it taken an extra two days for my packages to not arrive yet and I haven’t been updated on their whereabouts.,customer_service_other,delivery_delay,0.1768525000269523,@818381 Oh no! I'm so sorry for the wait. What was the original delivery date? This was sent to your order confirmation e-mail: https://t.co/3C5GYE8icr. ^LH
158,"@AmazonHelp Yes, I've just looked and it's now saying it won't be delivered until Tuesday. As I work full time that's no good at all. Can I cancel?",customer_service_other,delivery_delay,0.2016396989633596,"@257147 You're not able to cancel an order after it ships, but you can set up a Safe Place for us to leave your parcel while you're away here: https://t.co/MP0iyDYipP I hope this helps! ^ZW"
160,"@115821 I hustle down to the mailroom with nothing but myself to find no bed in the mailroom. No problem, Amazon fell short on promises.",customer_service_other,delivery_missing,0.1701783896051206,@344190 1/2 I'm sorry to hear we've disappointed you! This isn't the service we strive for. What was the delivery date given in
161,"@AmazonHelp Not impressed with the poor standard of packaging on my order, see image, if this happens again I will cancel my Prime membership and never order from Amazon again https://t.co/XgNlxKogUL",customer_service_other,product_issue,0.3634022468680804,@135301 Thank you for reaching out to us. Was the book you ordered damaged in transit to you? ^GR
164,@AmazonHelp everything I'm wanting to order on one day delivery won't be delivered until Monday. Why?,customer_service_other,delivery_delay,0.3100534759806801,"@150752 I am sorry to hear this. We strive to offer you the best Black Friday Sales and Cyber Week Deals. During this time, deliveries may take slightly longer than usual. Please check the delivery date at checkout which provides our most accurate estimated delivery date.^GA"
166,@115850 Your seller will refund only if I give a good review . Is this a amazon policy ?? Plz deal with such fraud seller,return_refund,seller_promotion,0.3104287550690597,"@496194 That is unusual, Anish. Did you try reaching out to us via: https://t.co/tBtfndUCho in regard to this ? ^KS"
168,"@AmazonHelp Yes. Orig del. date 10/29. Status of ""out for delivery"" &amp; ""will arrive by 8 pm"" since 10/30. Can't get a straight answer.",customer_service_other,delivery_delay,0.2735559690694459,"@118090 Thanks, what information were you given? ^AS"
170,"@AmazonHelp 1st time told arrive weds, 2nd time told arrive thurs, now Friday and no parcel and no update. I need the item today",customer_service_other,delivery_delay,0.2395466357708763,"@129582 Thanks for confirming, Laura. Parcels can arrive up to 21:00 on the day of the expected re-delivery. Please keep us posted! ^SD"
171,"@Amazonhelp Who told you Yodel was a decent courier?

You can't meet Prime delivery dates when using the most incompetent company out there!",customer_service_other,delivery_delay,0.207992245413466,"@552087 Hi, sorry to hear this! If your order is late, please get in touch with us here: https://t.co/JzP7hlA23B ^RL"
172,"@115850.
I bought a product from amazon.in but yet not replaced.",customer_service_other,return_refund,0.1948300130118415,@351225 Could you please let us know more about what went wrong? We'll definitely look into it. ^PS
174,@117634 My FireHD8 has spontaneously deregistered 3x in 24hrs &amp; now has lost all of my books. Customer support blames me for not backing it all up on a pc now that I need factory reset.. Don't sell devices if you need a 2nd device to ensure it'll work!,customer_service_other,technical_support,0.376964930808634,"@412235 I'm so sorry for this poor experience, Krista. This isn't how we strive to provide service to our customers. When you spoke to us, were there any options provided for recovery? ^HS"
176,@AmazonHelp Yeah now they tell me the package is lost.,customer_service_other,delivery_missing,0.2422874366478549,@140014 I can certainly understand any disappointment. We're happy to look into available options here: https://t.co/hApLpMlfHN ^LI
177,@AmazonHelp my order came today and is missing a cd that I ordered in it,customer_service_other,product_issue,0.3750949931756735,@320062 Sorry to hear that. Have you tried getting in touch with us here: https://t.co/JzP7hlA23B. ^BM
178,@AmazonHelp first time using amazon prime for next day delivery and the item didn’t arrive 🙄🙄,customer_service_other,delivery_delay,0.2801628839078415,@632338 Sorry to hear your order didn't arrive. Is there any update on the delay in the tracking? : https://t.co/aaDyEz1VgE ^ES
179,@115821 Refund processed via gift balance to let me order the better item. Item does not ship to Australia. Gift balance is now gone. Wtf,payment_billing,return_refund,0.2878246921649027,"@272845 When you spoke to us last, what info or options were we able to provide for you? ^CL"
180,"Where are the winners of 4 th to 8th oct, Recharge on Amazon with pay balance and win iPhone 8 ? @115850",payment_billing,seller_promotion,0.3258759284549257,@348597 We'd like to check this out. Could you please share the link of the contest you're referring about? ^VM
181,@AmazonHelp yep and no doubt you've many complaints from others in this business space but it's been a few weeks now and you are still using this delivery person so nothing has changed.. after years of no issues it's a big problem for companies that use you many times daily like we do,customer_service_other,delivery_delay,0.1825380261019717,@281023 Do you have a current pending order we can help you with? ^MI
183,@115850 it's been 8 days. What's wrong? I have requested for 3 times. This is very disappointing. https://t.co/nUcBOC4Mhx,customer_service_other,return_refund,0.2084903118631962,@643224 Sorry about the delay with the return. Please connect with us here: https://t.co/9mwpIdOzZn and we'll get this sorted out. ^MS
186,"@118919 Highly dissatisfied with your delivery Amazon. I have raised my concerns over the past few months with respect to this. The last three days have been particularly annoying. Congratulations, you have now lost my family as customers.",customer_service_other,delivery_delay,0.1839177444076755,@311194 Sorry for the issues with the delivery of your orders. Please share your details (1/2) ^HD
187,Why can't I pre order @132338 @130626 on @115821 app the @115786 one isn't showing up #Wrestling #2K18 #XBoxOne,customer_service_other,seller_promotion,0.2804126853032999,"@167985 Thanks for reaching out! Looks like it is currently unavailable, but you can sign up to be e-mailed once it's back up. ^GG"
188,@AmazonHelp @115821 what's the point of having prime if the guaranteed 2-day delivery actually means 3 or more.,customer_service_other,delivery_delay,0.2402794992373626,@489261 Two-Day Shipping is the transit time of the order once it has shipped. You can learn more here: https://t.co/XpPY6U11wW ^RM
190,@115821 my pick up of phone has not taken since 3 days and always  customer services replied that it has been escalated __email__,delivery_delay,return_refund,0.2034699288415677,"@354046 Sorry to hear that, what Amazon website is your account on? https://t.co/Znefn5I14N? ^JJ"
191,@AmazonHelp It’s fine but a warning/reminder email about the yearly renewal would be nice.,customer_service_other,payment_billing,0.2007889895875025,"@193547 We have a way to set up a reminder before your Prime membership renews. You can turn on that feature here: https://t.co/qYUwzPEUzM Once set up, you will receive an e-mail three days before your membership is set to renew. Let us know if you need anything else! ^DA"
192,"@115850 Order number 405-5511946-9020326, booked for Hornbull Men's Brown Wallet and Belt Combo, but image is showing something different https://t.co/TF4vgFtH4l",customer_service_other,product_issue,0.4061825132799512,@484010 Please don’t provide your details here as we consider them to be personal information. Our page is visible to public. ^GS
194,@AmazonHelp Do u think that 500 in gift is all what I am looking for? I don't do this to get the gift card...it's shameless guys...ur logistics sucks,payment_billing,customer_service_other,0.1899420650371998,@120701 Kindly reply to the email correspondence that you received from us for assistance on this. I'll be sure to pass on your feedback to the concerned team internally. ^AU
197,@AmazonHelp Yeah u guys were sleeping for 7 days . No commitment towards ur cust whatsoever.What's d point of so many adv if ur delivery syst is nt good,customer_service_other,delivery_delay,0.1979762232105879,@340085 I get your disappointment and I'm sorry about the stretch. We'll be sure to get back to you at the earliest. ^HA
198,Not sure how one day delivery works from @115830 when it’s not even dispatched yet #doigetarefund #itsabitlate https://t.co/nOYpanOYA0,return_refund,delivery_delay,0.2306324738034976,@379752 One-Day Delivery refers to the transit time once the item ships. Some items may be unavailable to ship immediately. (1/2) ^SA
199,When did @115821 prime 2 day turn to 4 days?,customer_service_other,delivery_delay,0.2387557743727133,@413345 All orders have a processing time. Prime Two-Day applies once the order ships out. Learn more here: https://t.co/B6WjTdznBx ^SH
