example_id,customer_text,actual_intent,predicted_intent,confidence,top_similarity,escalation_decision,escalation_reason
11,"@AmazonHelp @115821 @115850 @AmazonHelp @115851 #amazon #news #mouthshut #consumer ""2 cover ur fault, or are untrained. WORK ON UR SKILLS.""  (3/3)",customer_service_other,customer_service_other,0.2929736162667362,0.26295352779763115,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
12,"@AmazonHelp To be specific, which particular message you want me to reply. Because of your inability to pickup, I have lots of message with same subject",customer_service_other,customer_service_other,0.2523017777247348,0.2777689322136381,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
13,@AmazonHelp Will respond to the note. The picture has an order number which is not PI.,customer_service_other,customer_service_other,0.2713761194102258,0.22936974747365987,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
14,@AmazonHelp My simple querry is MRP printed on pruduct is 1199. Then how come? You are selling it for 1399. Your conditions given on the link,customer_service_other,seller_promotion,0.4695223334212505,0.2172506408956174,auto_handle,Routine support issue with sufficient classification confidence.
15,"So I turn off one-click purchase on all devices, and it is still enabled on all my devices.  What's up with that @AmazonHelp ?   Seems kinda shady...",customer_service_other,technical_support,0.4942592039770072,0.35260685550392856,auto_handle,Routine support issue with sufficient classification confidence.
16,"@115850 Order had 2 reach by 29th. Now says, the order is ON-Time n will reach by 1st Dec. I need complete reimbursement n compensation, not only for False commitment but also for FALSE statements. Dis is really Pathetic. Amazon wants customers 2 remain Blind n Idiot. Pathetic support https://t.co/NQz2HvpQa5",return_refund,delivery_delay,0.2553708581714487,0.1986089110890772,escalate,Customer message contains strong complaint or risk signals.
17,Another #Prime delivery that wasn't received on time &amp; delivery partner listed as delivered #epicfail @115850 Won't renew #Prime m'bership,customer_service_other,delivery_delay,0.3987527283804514,0.23352161251969772,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
18,@AmazonHelp It's my office address and it closes by 6-6:15 pm. For the package i have to wait till 8 pm ?? And by the way it guy told me he is coming by 2 pm but still he is not der and not evening picking my call.,customer_service_other,delivery_delay,0.24360760331921646,0.3473544156704513,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
19,"@115850 Order #405-9035122-8981915 
What's up with the wrong math?
#justasking https://t.co/WvWRgHkBtY",customer_service_other,payment_billing,0.43924366712989893,0.39460398132639407,escalate,Payment or billing-related issue requires human review.
20,"@AmazonHelp my dear Indian brothers n sisters, don't believe in Amazon India, because their service is distinctive n derogatory #lucky if u get support.",customer_service_other,customer_service_other,0.25934657029556696,0.22408331567114007,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
21,@AmazonHelp No any solution provide from your side and I am unable to contact with Amazon care because our call is blocked by Amazon..,customer_service_other,customer_service_other,0.32519482851179726,0.3201273015311035,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
22,@AmazonHelp I have given my details two times.. you only took the details and harassing me,customer_service_other,customer_service_other,0.27534973397805557,0.3602244995064894,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
23,"@AmazonHelp No need. I'll wait till Monday which was original expected date when I placed the order. If it doesn't arrive then, then there's a problem.",customer_service_other,delivery_delay,0.3199416638465479,0.2979225907679347,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
24,@115830 If I had to pick a not so safe place this one your driver chose would be top of the list https://t.co/0oi4vavGJw,customer_service_other,delivery_missing,0.3262925282044667,0.29814622985639827,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
25,@AmazonHelp Somewhat concerned that my package had left the Chino facility for going over 30 hours now with no update. (Already late).,delivery_delay,delivery_delay,0.26082481507079924,0.2401878258753692,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
26,@AmazonHelp Sorted many thanks!,customer_service_other,customer_service_other,0.34198982635773745,0.6285115974726385,auto_handle,Historical support cases are strongly similar despite low intent-classification confidence.
27,@AmazonHelp This is not the first time...i hv been facing issue for last one week ..and earlier also.. nobody cared...very disappointing...I told many friends too for this bad experiences.,customer_service_other,customer_service_other,0.2550811497592197,0.2594852672369514,escalate,Customer message contains strong complaint or risk signals.
28,@715660 $108 was taken out my account for amazon prime and i didn't sign up for none of that shit,customer_service_other,payment_billing,0.48260037293968244,0.3680357521694833,escalate,Payment or billing-related issue requires human review.
29,@UPSHelp My package from @2629 is lost&amp; my @115821 was supposed 2 b here at the end of the day 2 day....now the ETA has changed....AGAIN!!!!,customer_service_other,delivery_missing,0.3855912252547012,0.29463691810383097,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
30,"@115850  fake service by your team, After many request your team did contact us,our number +91-9136432055 contact us if any body can solve",customer_service_other,customer_service_other,0.39623289103083226,0.22380898521953843,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
31,"@AmazonHelp Hey, i want to downgrade my prime membership to video and music only. is that feasible? if not, video only is fine. I seem to remember when i tried to cancel once that you offered me a reduced package of £4.99 but i can't see that now when i look?",seller_promotion,customer_service_other,0.19005602406308783,0.18601660171948756,escalate,Both intent confidence and historical evidence strength are low.
32,"@115821 @115821 My account was hacked, entire history and all videos purchased are now gone. No one is helping. Can I get a refund for all the videos I bought but were deleted by the hack? Does @115821 even care when customer accounts are hacked?",account_access,account_access,0.5961849041912352,0.29477286301852085,escalate,Account or security-related issue requires human review.
33,"@AmazonHelp So this order 407-7402036-7182732
Placed on 30th and supposed to reach me on 2nd  November
Now is this as per amazon prime delivery std ??",customer_service_other,delivery_delay,0.3243782652985001,0.3170356848736753,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
34,"@115821 This review violates guidelines? Jesus christ, it's nothing but praise for the seller. Seriously, please tell me how it isn't a good review. https://t.co/j3rWiPcyHu",delivery_delay,seller_promotion,0.5077682238956042,0.32915536455500416,auto_handle,Routine support issue with sufficient classification confidence.
35,@AmazonHelp One was supposed to be same day and I got refunded the extra cost of that one. The other was just regular prime shipping and delayed a day.,return_refund,delivery_delay,0.33567812479008446,0.32924770577015816,escalate,Customer is requesting financial compensation or reimbursement.
36,"@160663 @115850 Dear Sir,
Amazone Tearms
Please , send me the duplicate bill copy of my order id- 20429178972317.",customer_service_other,payment_billing,0.4538971418049653,0.2931862644204389,escalate,Payment or billing-related issue requires human review.
37,@AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,return_refund,order_status,0.4882004334844328,0.30607041629559095,escalate,Customer message contains strong complaint or risk signals.
38,@AmazonHelp Arriving Tuesday.mean to say your routing process is not good .when FedEx can deliver you the returned product in few days why can't you?,return_refund,return_refund,0.3899703647857132,0.17868103223869258,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
39,"@AmazonHelp You guys have my phone number too, some. I’m not sure how come nobody called me back 😡",customer_service_other,customer_service_other,0.29755760590779534,0.3689654916034057,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
40,@AmazonHelp Ok tq for your quick response,customer_service_other,customer_service_other,0.3630858177207318,0.6389507486454455,auto_handle,Historical support cases are strongly similar despite low intent-classification confidence.
41,@117634 Why I don’t have suggestions or access to the store in my update app? Do you impose some geo limitations?,customer_service_other,technical_support,0.5179002300700812,0.299198364262205,auto_handle,Routine support issue with sufficient classification confidence.
42,"What Service Standard  @115850 @115821
Not able to deliver the product even after 12 days and refund the amount as a favour !!  Pathetic !",return_refund,delivery_delay,0.24343237045659566,0.2841717170616711,escalate,Customer message contains strong complaint or risk signals.
43,@AmazonHelp It’s just says arriving,customer_service_other,order_status,0.5210340899245,0.5998587794362349,auto_handle,Routine support issue with sufficient classification confidence.
44,@AmazonHelp You’ve now RETURNED the item I ordered last week AGAIN as a replacement! I want a manager to call ME to sort this mess out! @232600,return_refund,return_refund,0.4485111898096407,0.2860379933167074,auto_handle,Routine support issue with sufficient classification confidence.
45,@115850 Don't buy anything from Amazon they failed to deliver my order and they are not refunding my money,return_refund,return_refund,0.4338306807637729,0.3312825010608174,escalate,Customer is requesting financial compensation or reimbursement.
46,Amazon said they were going to miss my delivery for the sims 4. Will it ever come @115821 ?,customer_service_other,delivery_delay,0.33242943609736314,0.2771933965187928,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
47,"@115850 #amazonpantry
1) No fixed delivery timing . 2) 5 page invoice for 19 items
You are pain for grocery customers",customer_service_other,delivery_delay,0.29852830625906185,0.24058175273574833,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
48,@115850 Did midnight come early? Don't see exchange offer for Redmi 4 or any other mobiles https://t.co/HxDHHJtiy0,seller_promotion,seller_promotion,0.4790103489117267,0.3846427799493169,auto_handle,Routine support issue with sufficient classification confidence.
49,@AmazonHelp I've shared my concern over there. Hope to get a positive response soon.,customer_service_other,customer_service_other,0.32444583690158596,0.45457509447417704,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
50,@115850 @120602 @58058 not received 100 rs. Cashback on first recharge.,payment_billing,payment_billing,0.5418314846288539,0.5352804168005898,escalate,Payment or billing-related issue requires human review.
51,@AmazonHelp This was ordered on oct. 15 and listed prime 2 day. Then changed to 23rd to 27th. Then didn't show up.,customer_service_other,delivery_delay,0.3049087564477742,0.2714565737368729,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
52,@115830 disappointed with your #prime service ordered a book to get it on day released all day your service said it was on track to be delivered by 8pm so made sure someone was in as would be too big for letterbox only to greeted by this message tonight https://t.co/aUsHGWbvJw,customer_service_other,delivery_delay,0.2976924371106298,0.22905220899943426,escalate,Customer message contains strong complaint or risk signals.
53,"Hey @AmazonHelp @115850  can someone from urs contact me, Just came to know an unethical event which wd cost amazon 6.5K",customer_service_other,customer_service_other,0.3076219287093469,0.2658062981007488,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
54,@AmazonHelp to my credit card.,payment_billing,payment_billing,0.5687100424141734,0.5467841833791401,escalate,Payment or billing-related issue requires human review.
55,@AmazonHelp All I am looking for is a the truth and not a generic answer..Will two-day prime shipping be on time on my order or will it be delayed and what is the waiting time on that order..because it seems most orders on amazon were delayed over the weekend,delivery_delay,delivery_delay,0.36828164438824795,0.2515411981924673,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
56,Anyone else have issues with Amazon Prime delivering on time? I’ve been telling my kids how much they will love it-and I’m still  waiting.,customer_service_other,delivery_delay,0.31647243190681695,0.24309282200001317,escalate,Customer message contains strong complaint or risk signals.
57,@AmazonHelp First it was a discount. Then I was told it couldn't be replaced because it was from your global store.,seller_promotion,return_refund,0.33404277715439046,0.3924439808801974,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
58,@AmazonHelp ordered a pair of shoes 10 days ago it cost me 2800 but now they are available for 1900 .why you charged me extra 900 https://t.co/HnZLiv5Qc1,payment_billing,seller_promotion,0.4400553826055694,0.34016726037439626,auto_handle,Routine support issue with sufficient classification confidence.
59,@AmazonHelp That hasn’t helped. Just says what I’ve told you. That the delivery wasn’t completed,customer_service_other,delivery_missing,0.363571564169814,0.2432988457028351,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
60,@AmazonHelp Need an update on Order Id: 403-7773395-9905160. These updates are not making any sense. Paid extra for xpress delivery as well https://t.co/bCiULhTKN0,customer_service_other,delivery_delay,0.29352817159089795,0.3724956240423356,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
61,"@115850 why there arent any kannada videos in AmazonPrime .what should I do with my Amazon prime subscription ? 
@89922 @89923 @89924",customer_service_other,seller_promotion,0.46401076010021886,0.35288652527530656,auto_handle,Routine support issue with sufficient classification confidence.
62,@115850 order 408-5438761-9813923 is not delivered past 15 days and multiple followups.,customer_service_other,delivery_delay,0.2871659909694783,0.29328127535400783,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
63,@115850 i can't purshase from amazon because its cheat me,customer_service_other,payment_billing,0.4329725942513243,0.23623648959489643,escalate,Payment or billing-related issue requires human review.
64,@115850 could you tell me why an item on ordered list says delivered while it has not been delivered.,delivery_missing,delivery_missing,0.5057311953375909,0.30328942862320246,auto_handle,Routine support issue with sufficient classification confidence.
65,@115850 “Delivery refused by customer msg” Text received today even nobody call me for delivery. Customer care also given false statement https://t.co/KQAS6ELsUM,customer_service_other,delivery_missing,0.3725819854258981,0.27495352301986586,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
66,First time @14249 has failed me with the 2-day delivery in over 4 years. Sad 😞,customer_service_other,delivery_delay,0.3801027410119948,0.33618012295325417,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
67,"@AmazonHelp It says the item is fulfilled by amazon,everything reguarding returns and shipping is showing me amazon",return_refund,return_refund,0.38542121794271783,0.36728352874171527,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
68,@115850 guys please I need your amazing echo dot...let me get my hands on it,technical_support,seller_promotion,0.460852768283826,0.3968664519286223,auto_handle,Routine support issue with sufficient classification confidence.
69,@AmazonHelp What a shambles of a replacement of an order you’ve already messed up quite considerably,return_refund,return_refund,0.3479783559058898,0.27161717214434844,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
70,@AmazonHelp Why am I not surprised this still is unresolved,customer_service_other,customer_service_other,0.2930028156277265,0.38652586393642263,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
71,Literally watched the delivery guy put my packages in front of my garage instead of my front door. 😡 @115821,customer_service_other,delivery_missing,0.42218904829921355,0.5032206846946179,auto_handle,Routine support issue with sufficient classification confidence.
72,"@AmazonHelp You know what, these are all words, and you all don't value your words. Shame",customer_service_other,customer_service_other,0.29356385169318777,0.3823405017391217,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
73,"@AmazonHelp Yes. The one delivered to the wrong address, was dropped off at my house by the person who received it in error. The other two are MIA.",customer_service_other,delivery_missing,0.4134243187400601,0.2831265251868851,auto_handle,Routine support issue with sufficient classification confidence.
74,"@115821.comIt is an international shipment!
I paid full price to buy a new kitchen aid  mixer but you sent me refurbished one? Is that work?",seller_promotion,product_issue,0.5113123322700246,0.2622849731566112,auto_handle,Routine support issue with sufficient classification confidence.
75,@AmazonHelp Usually my neighbour but they work as well.,customer_service_other,delivery_missing,0.32387689559333516,0.2661403500046992,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
76,@AmazonHelp It started a month or so ago and have had to watch through my PS4 but I'm getting annoyed at having to keep switching to it and using my controller as a remote as it's not very good!,customer_service_other,technical_support,0.5489678052758682,0.2533890186643431,auto_handle,Routine support issue with sufficient classification confidence.
77,"@AmazonHelp It says ""Sold by Erlvery DaMain and Fulfilled by Amazon"".",customer_service_other,seller_promotion,0.40336053577581427,1.0000000000000004,auto_handle,Routine support issue with sufficient classification confidence.
78,@AmazonHelp This is the screenshot of the reply @115821 @AmazonHelp @115851 https://t.co/4RozpCzXpl,customer_service_other,customer_service_other,0.285028122798373,0.47459705403805724,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
79,"45 minutes of trying to figure out how to return a gift to @115821 followed by this email.. “I cloud dispose the item in a proper way” and I won’t be charged for it! C’mon @AmazonHelp .. If anything, it is pretty hilarious. https://t.co/akHV6hiZdv",payment_billing,return_refund,0.38070276119486973,0.26855511719479647,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
80,Dear @115850 order placed on 16 October 2017 Order# 404-8234733-5479567. It is still 'preparing to Dispatch' from last week? Any insights?,order_status,order_status,0.5012093886691597,0.3535285662824147,auto_handle,Routine support issue with sufficient classification confidence.
81,"@AmazonHelp @115821 @115850 3 calls to customer care and received 3 answers , but did not find the solution .Losing patience to call again",customer_service_other,customer_service_other,0.2964747837984853,0.32587752623312916,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
82,"@AmazonHelp Not helpful unfortunately. ""Parcel was handed to resident The delivery was received by: Richaed"" 14:41. I was at work... (and it's Richard)",customer_service_other,delivery_missing,0.40046775423632597,0.34997755521295293,auto_handle,Routine support issue with sufficient classification confidence.
83,"Not all books are supported on all Kindle models :(
Delivery delayed of Kindle Fire today v disappointed. @AmazonHelp whats going on?",technical_support,delivery_delay,0.29207889041592316,0.37340139484886165,escalate,Customer message contains strong complaint or risk signals.
84,@115830 Amazon is the best 👍🏻,customer_service_other,customer_service_other,0.2920213885215661,0.6766303634865084,auto_handle,Historical support cases are strongly similar despite low intent-classification confidence.
85,"@115821 wow. just had the worst customer service ever. can no longer email customer service. instead you get to ""chat"" with unhelpful idiots",customer_service_other,customer_service_other,0.3850844215643631,0.3568093626262637,escalate,Customer message contains strong complaint or risk signals.
86,@279583 This is encouraging to hear. If only @AmazonHelp would respond to all of my emails about my stolen package from weeks ago. 🙄,customer_service_other,delivery_missing,0.38101249274103877,0.24804220372275881,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
87,"@AmazonHelp R u joking. Is this poor customer service u give. Unbelievable I have sent all correspondence on 9th to u &amp; u want me to email again,WHY???",customer_service_other,customer_service_other,0.3684499298094221,0.216539421896744,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
88,"@115850 

My refund of Lehnga Choli is not completed. yesterday
I tried to reach you through FB chat also, haven't received reply. Plz help https://t.co/f61wlsSChE",return_refund,return_refund,0.3437542699463165,0.35304799156198374,escalate,Customer is requesting financial compensation or reimbursement.
89,"@115850 @115821 Despite commitment from Amazon rep to update us the status on 13th this month, no news yet. Order still not received. https://t.co/EiZMgFuEBT",delivery_missing,delivery_delay,0.23957420067519525,0.247003973309972,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
90,@AmazonHelp No?! They are identical! All I want is my money back!!!,return_refund,return_refund,0.47480629956449616,0.4507509560799111,escalate,Customer is requesting financial compensation or reimbursement.
91,"Dear @115850 please choose better courier than
@120169 Tracking details showing out for delivery
from last day order 408-0342057-9912314",order_status,delivery_delay,0.2821155469042741,0.4419518619161422,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
92,"@AmazonHelp Dear @AmazonHelp, I am going to install the product ( as it is very delayed now☹️) and send you the charges for the same. Kindly reimburse the balance in form of amazon pay balance.  Thank you.",payment_billing,return_refund,0.3585023009526791,0.2434144989035499,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
93,@AmazonHelp I wasn’t. Do you think that any of this is good customer service?,customer_service_other,customer_service_other,0.38310469141391834,0.3471424836338847,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
94,@AmazonHelp Not yet shipped but email from May says November 14th https://t.co/8JA9pgwnTJ,order_status,order_status,0.5952501261615257,0.5654969849391569,auto_handle,Routine support issue with sufficient classification confidence.
95,@AmazonHelp My Pls Cal me on my Cell No you Customer Care is Not Connecting to Person,customer_service_other,customer_service_other,0.334531686590906,0.30714275324972856,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
96,"@AmazonHelp It was ordered on Monday, “guaranteed delivery by Wednesday” https://t.co/QsRtcI0RDS",customer_service_other,delivery_delay,0.32024839448050285,0.3750454905238077,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
97,"@AmazonHelp Email sent.. sorry it's harsh, but this is incredibly frustrating.",customer_service_other,customer_service_other,0.2702844632563835,0.4855856460138858,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
98,So according to the @115830 app @116324 tried to deliver my parcel today but I have been in all day and there has been no one at the door and no delivery slip posted! Where was my parcel allegedly delivered to?! Hmm... #disappointed,customer_service_other,delivery_missing,0.47914864292162757,0.27997937213296104,escalate,Customer message contains strong complaint or risk signals.
99,"@AmazonHelp Thankyou, I have sent an email",customer_service_other,customer_service_other,0.365044200619345,0.7080070035567219,auto_handle,Historical support cases are strongly similar despite low intent-classification confidence.
100,@AmazonHelp They basically ordered me a new cover but said they couldn't apply a promotion to the postage costs so therefore they would refund the postage costs back into my bank account and now they won't?,return_refund,return_refund,0.3799657227665791,0.3242783744774832,escalate,Customer is requesting financial compensation or reimbursement.
101,"@115850 If the prime member also has to wait for delivery for 6 days then ,what is the true use of prime member ?? So sad https://t.co/myUpRKGR3X",customer_service_other,delivery_delay,0.35740548397973076,0.2745660501232372,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
102,@115851 your @115850 ECR team is not ready to help. Will you be able to?,customer_service_other,customer_service_other,0.30863756786470803,0.3835414971394675,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
103,@AmazonHelp No sorry ... what about you reaching out to me and trying to resolve it !!! Oh look just had another attempt !!! And I’m still in my house 🙌🏻😩🙋🏼 cheers https://t.co/l3iC1UAkvv,customer_service_other,delivery_missing,0.35071531835653896,0.23599502620441964,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
104,@AmazonHelp REFUND.. it's on mail ...,return_refund,return_refund,0.461676649050231,0.36543923160389014,escalate,Customer is requesting financial compensation or reimbursement.
105,@AmazonHelp WORST customer service by phone: representative can barely speak or understand English,customer_service_other,customer_service_other,0.3598516218812351,0.5078478896048583,escalate,Customer message contains strong complaint or risk signals.
106,@115830 Please can you tell me the email address for customer services?,customer_service_other,customer_service_other,0.40872002472736113,0.5397208080650406,auto_handle,Routine support issue with sufficient classification confidence.
107,Should stay away from @115830 after night shifts I make unwise shopping decision when tired,customer_service_other,customer_service_other,0.23774314123144605,0.33464299982578416,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
108,"Hi @115821 , I have a $419.00 birthday present I purchased for someone that has not been delivered. Either @115817 agents or urs lied about 1/x",customer_service_other,delivery_missing,0.4057899640653764,0.22598660074117757,auto_handle,Routine support issue with sufficient classification confidence.
109,@115850 Please ask CloudTail to bring back Tata Coffee Grand!!! Have been purchasing it from you for more than a year!! https://t.co/XPYgxc0hBm,customer_service_other,seller_promotion,0.4452966402893264,0.28098038637274597,auto_handle,Routine support issue with sufficient classification confidence.
110,@AmazonHelp Received this. Keep trying to change my password but it keeps saying it's incorrect https://t.co/JSELW7TJdH,account_access,account_access,0.5428445045933433,0.3398898486299996,escalate,Account or security-related issue requires human review.
111,Waiting for your poor response well If you are solving the problems then it should be happy moment for me @115850 @AmazonHelp #Amazon https://t.co/m9xZXHHUuU,customer_service_other,customer_service_other,0.2774735291458986,0.2224778786262256,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
112,"@AmazonHelp i have just now, the issue was resolved thank you for the fast response.",customer_service_other,customer_service_other,0.38725165623581514,0.4974630355032921,escalate,Customer message contains strong complaint or risk signals.
113,@AmazonHelp I lost my kindle while traveling in Sri Lanka. Can I remotely deactivate it? Can I get a new one here? I want to read 🙂,technical_support,account_access,0.5795181972828065,0.2581668018152274,escalate,Account or security-related issue requires human review.
114,@115850 I purchased a power bank (Order# 403-8468350-7547550) on 5 Oct but still not yet shipped. registered various complaints (1/2),order_status,order_status,0.5257125143447227,0.3801249884131616,auto_handle,Routine support issue with sufficient classification confidence.
115,@AmazonHelp I need a credit card?,payment_billing,payment_billing,0.5709318626380003,0.49373587902707156,escalate,Payment or billing-related issue requires human review.
116,@119862 @115850 @3021 @115850 @119862 @3021 does anyone care. Should I keep waiting depending on your convenience.,customer_service_other,customer_service_other,0.24791885573971878,0.3474348875782809,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
117,@115821 @AmazonHelp  services is very poor no-one call me or no mailed after 3 complaints. @118702 @4030 @4167 @14281 is better. https://t.co/jSM8X2MisM,customer_service_other,customer_service_other,0.2919722996779457,0.26001303495360606,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
118,"@AmazonHelp What kind of time waiste option is this, can't u check order details with this tracking ID, Such a poor support, not expected from amazon",order_status,order_status,0.47366041503240575,0.32380164209879403,auto_handle,Routine support issue with sufficient classification confidence.
119,"@AmazonHelp Hi - They worked fine at first, and then the remote has broken (i think) as it keeps pausing my music, skipping songs etc. 1/2",product_issue,technical_support,0.5404302156177057,0.23289463314637382,auto_handle,Routine support issue with sufficient classification confidence.
120,Hi @AmazonHelp My order from Sept 5th never arrived.  I have been in NUMEROUS emails with you &amp; still no delivery and now no communication,delivery_missing,delivery_delay,0.29181707916346267,0.21432505598405038,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
121,@AmazonHelp I have already replied many times they are not giving right feedback. @115850 all ready wated my time as well as money wrost service plz return my money,return_refund,return_refund,0.2368980473431196,0.3439099952179065,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
122,@AmazonHelp Its almost 5o times.i have written dere to ur given link. But nothing happened. I knw m just doing ur timepass. U peoples r not bothered,customer_service_other,customer_service_other,0.24733137288028706,0.2566743286137109,escalate,Intent confidence is low and historical evidence is not strong enough to safely auto-handle the request.
123,"@227106 @115850 @AmazonHelp Amazon Pay Order ID #P04-5604862-8562487
#P04-5604862-8562487
still refund not reflect 10 days gone 1/2",return_refund,return_refund,0.38621733686087767,0.5480893776536654,escalate,Customer is requesting financial compensation or reimbursement.
124,@AmazonHelp Just sent an email regarding this. Thank you!,customer_service_other,customer_service_other,0.37210594394547214,0.7116558142989449,auto_handle,Historical support cases are strongly similar despite low intent-classification confidence.
125,"Pretty sure this is a scam/phishing email, and the link doesn't go to the Amazon website @115821 https://t.co/f96n9rDW6L",customer_service_other,account_access,0.5358904154442427,0.4699520261775818,escalate,Account or security-related issue requires human review.
